City,Temperature,Cloudiness,Country,Date,Humidity,Lattitude,Longitude,Max Temp,Wind Speed,City Number
Antalya,80.6,40,TR,1567542213,74,36.9,30.69,80.6,2.24,323777
Avarua,73.4,35,CK,1567542213,56,-21.21,-159.78,73.4,12.75,4035715
Albany,74.97,40,US,1567542214,50,42.65,-73.75,78.8,5.82,5106834
Esperance,48.2,40,AU,1567542214,81,-33.86,121.89,48.2,13.87,2071860
Hilo,81.73,20,US,1567542214,62,19.71,-155.08,84.99,6.93,5855927
Kitakami,60.57,64,JP,1567542214,87,39.29,141.1,60.57,2.06,2112227
Leningradskiy,35.19,98,RU,1567542215,82,69.38,178.42,35.19,4.59,2123814
Cabo San Lucas,88.61,20,MX,1567542173,46,22.89,-109.91,93.0,8.84,3985710
Saint-Augustin,67.53,75,CA,1567542215,45,45.63,-73.98,69.01,2.24,6138501
Husavik,57.99,98,CA,1567542216,60,50.56,-96.99,57.99,3.0,5961417
Port Elizabeth,82.11,20,US,1567542216,61,39.31,-74.98,87.01,6.93,4501427
Cape Town,59.2,75,ZA,1567542020,72,-33.93,18.42,60.01,16.11,3369157
Vila,70.32,0,IT,1567542217,68,45.18,8.4,75.99,2.24,3164565
Airai,63.99,0,TL,1567542217,79,-8.93,125.41,63.99,4.7,1651810
Vaini,75.15,100,IN,1567542218,96,15.34,74.49,75.15,3.71,1273574
Rikitea,72.09,100,PF,1567542218,87,-23.12,-134.97,72.09,9.24,4030556
Half Moon Bay,73.15,90,US,1567542218,88,37.46,-122.43,81.0,9.17,5354943
Mar del Plata,37.71,69,AR,1567542219,45,-46.43,-67.52,37.71,19.04,3863379
Saint-Georges,65.01,100,CA,1567542219,60,46.12,-70.67,66.99,1.01,6295855
Arraial do Cabo,73.4,75,BR,1567542219,88,-22.97,-42.02,73.4,14.99,3471451
Key Largo,89.71,20,US,1567542220,66,25.09,-80.45,93.99,17.22,4160795
Dera Ghazi Khan,94.05,3,PK,1567542220,42,30.03,70.64,94.05,10.04,1180289
Russell,95.04,1,US,1567542220,38,38.9,-98.86,102.99,3.36,4278471
Tessalit,96.93,99,ML,1567542220,24,20.2,1.01,96.93,5.19,2449893
Cayenne,87.8,20,GF,1567542221,62,4.94,-52.33,87.8,12.75,3382160
Kahului,82.17,20,US,1567542019,52,20.89,-156.47,87.8,16.11,5847411
Khandbari,58.23,100,NP,1567542221,97,27.38,87.21,58.23,1.61,1283217
Miquelon,62.24,75,PM,1567542222,93,47.1,-56.38,62.6,23.04,3424941
Athabasca,71.91,0,CA,1567542181,43,54.72,-113.29,71.91,4.99,5887916
Carutapera,80.01,95,BR,1567542222,75,-1.2,-46.02,80.01,9.73,3402648
Mahebourg,72.46,75,MU,1567542222,73,-20.41,57.7,73.0,6.93,934322
Chicama,66.2,20,PE,1567542223,77,-7.84,-79.15,66.2,12.75,3698359
Itapirapua,92.97,0,BR,1567542015,16,-15.82,-50.61,92.97,3.58,3460697
Bima,63.45,0,ID,1567542223,95,-8.45,118.73,63.45,1.45,1648759
Sibu,75.07,75,MY,1567542224,100,2.29,111.83,75.2,3.02,1735902
Malanje,74.43,1,AO,1567542224,56,-9.54,16.35,74.43,8.05,2239862
Kodiak,89.55,75,US,1567542225,55,39.95,-94.76,91.99,4.7,4407665
Qaanaaq,34.11,28,GL,1567542225,51,77.48,-69.36,34.11,6.8,3831208
Ostersund,44.22,0,SE,1567542225,81,63.18,14.64,44.6,8.05,2685750
Severo-Kurilsk,50.49,100,RU,1567542226,95,50.68,156.12,50.49,12.91,2121385
Vanimo,79.47,29,PG,1567542226,82,-2.67,141.3,79.47,8.81,2084442
Garissa,74.25,19,KE,1567542226,75,-0.46,39.64,74.25,20.67,197745
Kapaa,84.2,40,US,1567542227,62,22.08,-159.32,87.8,11.41,5848280
Castro,50.0,0,CL,1567542227,61,-42.48,-73.76,50.0,8.05,3896218
Hermanus,56.79,33,ZA,1567542227,83,-34.42,19.24,59.0,1.99,3366880
Muros,70.77,0,ES,1567542227,68,42.77,-9.06,73.99,3.36,3115824
Butaritari,84.15,67,KI,1567542228,65,3.07,172.79,84.15,3.29,2110227
Chuy,48.69,48,UY,1567542228,58,-33.69,-53.46,48.69,11.5,3443061
Faanui,77.68,52,PF,1567542228,84,-16.48,-151.75,77.68,18.39,4034551
Kavieng,83.61,85,PG,1567542122,75,-2.57,150.8,83.61,12.26,2094342
Atuona,79.29,0,PF,1567542229,76,-9.8,-139.03,79.29,14.32,4020109
Port Lincoln,57.87,100,AU,1567542229,86,-34.72,135.86,57.87,4.34,2063036
Sioux Lookout,52.83,75,CA,1567542230,71,50.1,-91.92,53.6,6.93,6148373
Mataura,39.99,100,NZ,1567542230,96,-46.19,168.86,39.99,1.01,6201424
Aras,61.43,0,ES,1567542230,60,42.56,-2.36,68.0,2.24,3129839
Mantua,70.3,40,IT,1567542231,60,45.16,10.79,73.4,4.7,3174050
Nikolskoye,56.35,75,RU,1567542231,87,59.7,30.79,57.0,2.24,546105
